age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,contact_month
-0.6898316759576595,1,1,3,0,1,0,1,6,4,-0.0934063388400729,-0.5986595165155467,0.2010313353345134,-0.3513559841342726,1,0.649441345068569,0.7151926425714463,0.8922690699662461,0.7122753127306541,0.3328624952903114,1_6
-0.6898316759576595,6,2,6,0,0,0,1,6,0,-0.6470578913052835,-0.5986595165155467,0.2010313353345134,-0.3513559841342726,1,0.649441345068569,0.7151926425714463,0.8922690699662461,0.712852220018657,0.3328624952903114,1_6
1.1526623273911127,0,1,3,0,0,0,1,6,4,1.516502430739617,-0.2092282864890879,0.2010313353345134,-0.3513559841342726,1,0.649441345068569,0.7151926425714463,0.8922690699662461,0.712852220018657,0.3328624952903114,1_6
-0.7868050445549634,7,2,3,0,-2,-2,0,6,4,0.417052539319341,-0.5986595165155467,0.2010313353345134,1.4946074069997437,0,-1.2060543163867548,-1.1854476345842435,-1.240939002200128,-1.350168241878881,-0.9147793298985276,0_6
-0.1079914643738366,10,1,6,0,1,0,1,6,2,-0.3486357779197799,-0.2092282864890879,0.2010313353345134,-0.3513559841342726,1,0.649441345068569,0.7151926425714463,0.8922690699662461,0.7116984054426517,0.3328624952903114,1_6
-0.3019382015684443,3,1,0,0,0,0,0,3,3,-0.7884157344878904,0.5696341735638297,0.2010313353345134,-0.3513559841342726,1,0.8413891721156713,0.5839949485988578,-0.4790789764264232,0.7728505779709345,0.8365350928366287,0_3
-0.3989115701657481,1,0,3,0,1,0,1,4,4,-0.4860670143473144,-0.5986595165155467,0.2010313353345134,-0.3513559841342726,1,0.8413891721156713,1.5282730881121709,-0.2831721126560407,0.7716967633949288,0.8365350928366287,1_4
-0.5928583073603557,9,2,6,0,1,0,0,1,2,-0.0502136645342763,-0.5986595165155467,0.2010313353345134,-0.3513559841342726,1,0.8413891721156713,-0.2342643532828906,0.957571357889706,0.7745812998349425,0.8365350928366287,0_1
-0.1079914643738366,9,1,5,0,0,0,1,8,2,-0.3368559576545626,-0.5986595165155467,0.2010313353345134,-0.3513559841342726,1,-0.1183499631198408,0.3768406949579026,0.0215718976534408,0.7497742864508278,0.3980276831130174,1_8
0.8617422215992013,10,1,3,-2,0,0,0,7,0,1.6264474198816448,-0.2092282864890879,0.2010313353345134,-0.3513559841342726,1,-0.1183499631198408,-0.6554780023528164,-0.3267069712716816,0.230557727248427,0.3980276831130174,0_7
